ID,半乳糖,甘胺酸(Gly),甲硫胺酸(Met),白胺酸(Leu),次亞麻油酸(18:3),灰分,肉豆蔻烯酸(14:1),肉豆蔻酸(14:0),色胺酸(Trp),辛酸(8:0),乳糖,亞麻油酸(18:2),其他脂肪酸,果糖,油酸(18:1),花生油酸(20:4),花生酸(20:0),芥子酸(22:1),癸酸(10:0),苯丙胺酸(Phe),修正熱量,胱胺酸(Cys),脂肪酸M總量,脂肪酸P總量,脂肪酸S總量,酒精含量,異白胺酸(Ile),粗脂肪,粗蛋白,組胺酸(His),脯胺酸(Pro),麥芽糖,棕櫚烯酸(16:1),棕櫚酸(16:0),硬脂酸(18:0),絲胺酸(Ser),菸鹼素,視網醇,視網醇當量(RE),酥胺酸(Thr),鈣,鈉,葉酸,葡萄糖,酪胺酸(Tyr),酪酸(4:0),鉀,飽和脂肪,精胺酸(Arg),維生素A總量(IU),維生素B1,維生素B12,維生素B2,維生素B6,維生素C,維生素D2,維生素D3,維生素D總量(IU),維生素D總量(ug),維生素E總量,維生素K1,維生素K2(MK-4),維生素K2(MK-7),銅,熱量,蔗糖,鋅,麩胺酸(Glu),糖質總量,膳食纖維,錳,磷,總碳水化合物,膽固醇,鎂,離胺酸(Lys),鐵,纈胺酸(Val),鱈烯酸(20:1),P/M/S,α-生育酚,α-胡蘿蔔素,α-維生素E當量(α-TE),β-生育酚,β-胡蘿蔔素,γ-生育酚,δ-生育酚,十七酸(17:0),十九酸(19:0),十八碳四烯酸(18:4),十三酸(13:0),十五酸(15:0),山酸(22:0),己酸(6:0),反式脂肪,天門冬胺酸(Asp),廿二碳五烯酸(22:5),廿二碳六烯酸(22:6),廿四酸(24:0),廿碳五烯酸(20:5),月桂酸(12:0),水分,水解胺基酸總量,丙胺酸(Ala)
K0106101,NA,400,426,930,0,0.6,0,0,169,0,0,0,NA,0,30,0,0,0,0,662,48,365,30,0,71,NA,616,0.1,10.7,272,362,0,0,18,53,748,0.33,0,0,505,5,154,1.7,0.3,456,0,128,0.1,635,1,0.01,0.17,0.46,0,0,NA,NA,NA,NA,0.01,NA,NA,NA,0.152,48,0,0.2,1474,0.3,NA,NA,10,0,0,10,732,0.3,685,0,NA,0.01,NA,0.01,0,NA,0,0,0,0,0,0,0,0,0,NA,1133,0,0,0,0,0,88.7,11244,674
M0200102,0,0,0,0,1480,0,0,1304,0,0,0,19548,1137,0,36748,260,213,0,77,0,892,0,39023,21518,38172,NA,0,99.8,0,0,0,0,1600,22975,13137,0,0,40,40,0,0,1,0,0,0,0,1,38.2,0,133,0,0,0,0,0,0,5.66,226.32,5.66,1.36,0,45.57,0,0.001,892,0,0,0,0,0,0,3,0,67,0,0,0,0,675,NA,1.12,NA,1.15,0,0,0.23,0,301,0,0,0,56,18,0,368.5,0,122,82,0,27,92,0.1,0,0
K0108301,NA,407,385,1192,203,1.8,0,111,126,0,NA,4351,NA,NA,11725,321,0,0,0,585,314,858,12522,5437,9042,NA,695,27,16.2,362,591,NA,797,6744,2120,1064,0.16,492,492,761,149,57,NA,NA,556,0,120,9,1004,1641,0.3,2.75,0.62,0.25,2,NA,NA,NA,NA,13.59,NA,NA,NA,NA,314,NA,3.7,1796,NA,NA,NA,517,5.4,1228,13,1292,6.2,758,0,NA,13.16,0,13.21,0.01,0,0.42,0,66,0,0,0,0,0,0,NA,1274,0,560,0,0,0,49.7,14417,712
K0113201,NA,424,508,1069,58,1.9,2,210,128,0,0,731,150,0,2374,168,19,0,0,670,122,132,2767,2010,2758,NA,618,7.6,12.2,291,430,0,327,1845,573,815,0.14,74,74,600,41,583,NA,0,489,0,130,2.8,667,248,0.01,1.13,0.13,0.04,0,NA,NA,NA,NA,2.11,NA,NA,NA,NA,122,0,0.9,1634,0,NA,NA,161,2.3,352,8,831,1.9,784,64,NA,1.37,0,1.45,0.03,0,0.68,0.03,60,0,0,2,41,0,0,NA,1270,129,719,6,205,2,75.9,12080,721
K0214103,NA,452,593,1157,132,3.8,0,70,135,0,0,1905,108,0,6059,531,3,0,0,793,185,1417,6383,2813,4593,NA,617,13.8,13.7,320,511,0,278,3597,888,1012,0.24,161,161,754,124,1267,NA,0,650,0,127,4.6,756,538,0.22,2.8,0.51,0.28,0.1,NA,NA,NA,NA,2.64,NA,NA,NA,NA,185,0,1.7,1813,0,NA,NA,281,3.5,530,13,966,2.9,778,47,NA,1.6,NA,1.7,0.01,NA,1.02,0.01,28,0,0,0,4,3,0,NA,1223,67,179,0,0,0,65.1,14598,652
K0112102,NA,413,470,1000,96,1.9,6,35,170,0,NA,1924,NA,NA,3806,92,0,0,0,632,145,193,4077,2167,3147,NA,652,9.4,13.8,304,432,NA,242,2381,702,829,0.11,50,50,566,50,458,NA,NA,520,0,108,3.1,721,166,0.04,0.57,0.32,0.13,0,NA,NA,NA,NA,2.09,NA,NA,NA,NA,145,NA,1.5,1571,NA,NA,NA,175,0.9,377,12,856,3.8,765,23,NA,1.67,NA,1.73,0.04,NA,0.37,0.02,21,0,0,0,7,0,0,NA,1191,0,55,0,0,0,74,11950,664
K01208,NA,503,416,1355,370,3,22,126,191,0,NA,6988,NA,NA,13266,433,0,0,0,687,378,218,14209,8114,11361,NA,859,33.7,17,443,625,NA,837,8454,2675,1186,0.12,286,286,788,119,697,NA,NA,718,0,141,11.4,1074,954,0.09,2.58,0.48,0.31,0,NA,NA,NA,NA,8.06,NA,NA,NA,NA,378,NA,4,1996,NA,NA,NA,602,1.9,1464,21,1164,6.5,925,84,NA,6.54,NA,6.73,0.12,NA,1.36,0.05,79,0,12,0,25,0,0,NA,1488,23,288,0,0,1,44.3,15449,813
L1200101,0,431,632,2490,233,6.4,30,3078,293,891,28.7,696,35,0,6918,18,62,0,2836,1234,510,290,7349,1012,21389,NA,1222,29.8,26.7,692,2778,0.1,396,8090,3281,1197,3.8,556,556,1169,1069,232,5,0.1,1033,368,1523,21.4,803,1853,0.37,0.42,2.59,0.25,6.7,NA,NA,NA,NA,0.6,NA,NA,NA,NA,510,0,3.2,5228,28.8,NA,NA,709,34.8,103,95,1971,0.3,1621,6,NA,0.58,NA,0.58,0,NA,0.02,0,191,0,0,28,286,33,777,571.29,1748,32,11,5,21,1462,2.3,25602,770
L0500101,NA,351,555,1925,205,4.9,110,3009,190,365,1.6,258,237,0,5080,17,23,0,849,1043,309,124,5549,513,17514,NA,937,23.7,18.3,537,2097,0,339,7377,2932,1020,0,233,262,700,606,1594,9.1,0.1,1201,753,70,17.5,422,1071,0.12,0.43,0.46,0.03,0.3,NA,NA,NA,NA,0.9,NA,NA,NA,NA,309,0,2.8,4308,1.7,NA,NA,432,5.9,78,25,1523,1,1172,20,NA,0.9,NA,0.9,0,177,0,0,165,17,0,39,309,9,559,NA,1337,18,0,13,15,1094,47.2,20001,556
E9900701,0,58,6,74,28,0.7,0,3,0,0,0,581,10,2.3,531,0,9,15,0,58,53,7,564,608,637,NA,48,1.8,1,19,45,0,10,496,63,56,1.86,0,32,46,51,2,18.4,2.3,47,0,269,0.6,51,319,0.05,0,0.05,0,4.5,0,0,0,0,1.76,2.99,0,0,0.071,61,0,0,114,4.6,4.3,0.073,19,11.2,0,33,68,0,59,8,NA,1.26,NA,1.44,0.31,191,0.17,0.01,2,0,0,0,0,26,0,0,154,0,0,38,0,0,85.4,960,51
L0124601,NA,47,65,225,9,0.7,0,184,0,27,NA,87,NA,NA,525,0,5,0,54,109,64,37,551,96,1453,NA,115,2.1,2.4,64,243,NA,26,625,368,125,1.2,28,28,100,65,50,4,NA,120,55,126,1.5,89,93,0.04,0.15,0.19,0.05,0,NA,NA,NA,NA,2.64,NA,NA,NA,NA,65,NA,0.3,493,NA,0.3,NA,85,9.3,10,11,188,0.1,138,0,NA,2.64,NA,2.64,0,NA,0,0,11,0,0,0,17,0,44,NA,178,0,0,0,0,64,85.5,2416,80
L0124401,0,69,55,304,12,0.6,11,275,0,41,4,74,3,0,566,4,5,0,89,149,67,55,622,91,1844,NA,167,2.6,2.3,93,324,0,44,793,365,164,0.9,40,40,134,79,63,6,0.1,156,68,134,1.8,125,133,0.06,0.19,0.11,0.04,0,NA,NA,NA,NA,0.08,NA,NA,NA,NA,67,0,0.3,663,4.1,NA,NA,101,8.9,9,9,260,0.1,198,0,NA,0.06,NA,0.06,0,NA,0.01,0.01,14,0,0,4,25,1,60,106.86,245,1,0,1,1,102,85.6,3273,112
R6600501,0,721,263,999,244,2.8,0,323,48,0,0,3636,189,0,6165,47,51,21,14,481,277,220,6809,4038,8623,NA,541,19.5,12.5,328,637,0,508,5449,2706,496,2.46,16,16,529,40,663,7.3,0.1,415,0,155,8.6,834,54,0.17,0.73,0.11,0.06,0,NA,NA,NA,NA,0.77,NA,NA,NA,NA,277,1.1,0.7,2105,1.2,NA,NA,122,12.9,60,16,1073,0.5,584,115,NA,0.09,NA,0.41,0.64,NA,0.04,0.01,54,0,0,0,4,7,0,75.56,1131,42,63,1,6,15,52.2,12193,788
A0400401,NA,138,70,342,7,0.6,0,0,16,0,0,888,21,3,903,0,13,0,0,139,97,30,903,895,731,NA,107,2.6,3.1,78,248,0,0,580,98,159,2.09,NA,0,128,3,0,5.7,3.6,122,0,239,0.7,143,0,0.07,NA,0.12,0.44,5.8,NA,NA,NA,NA,0.94,NA,NA,NA,NA,105,1.2,0.7,549,7.8,4,NA,92,17.5,NA,33,147,0.7,160,0,NA,0.2,NA,0.28,0.03,0,0.68,0.04,0,0,0,40,0,0,0,NA,236,0,0,0,0,0,76.2,3086,273
E6300101,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,0.4,0.6,NA,NA,NA,NA,NA,NA,NA,1.21,NA,608,NA,16,3,NA,NA,NA,NA,417,NA,NA,6079,0.06,NA,0.08,0.22,24,NA,NA,NA,NA,0.55,NA,NA,NA,NA,86,NA,0.2,NA,NA,3.1,NA,55,20.8,NA,20,NA,0.5,NA,NA,NA,0.5,0,0.51,0,3648,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.4,NA,NA
D0200201,NA,26,4,27,NA,0.5,NA,NA,0,NA,0,NA,NA,1.7,NA,NA,NA,NA,NA,19,25,10,NA,NA,NA,NA,17,0.1,0.6,12,8,0.2,NA,NA,NA,27,0.43,NA,1,21,31,5,21.2,2.4,5,NA,139,NA,26,8,0.02,NA,0.03,0.04,25.3,NA,NA,NA,NA,0.39,NA,NA,NA,0.02,29,0,0.1,86,4.3,2.4,NA,13,7.2,NA,19,36,0.2,22,NA,NA,0.04,0,0.08,0,5,0.34,0.01,NA,NA,NA,NA,NA,NA,NA,NA,263,NA,NA,NA,NA,NA,91.7,634,26
I0300101,NA,839,458,1410,132,0.9,0,192,206,0,NA,2308,NA,NA,5613,66,29,0,13,723,200,896,6024,2545,5046,NA,776,13.6,18.1,611,710,NA,314,3160,1594,666,3.63,7,7,762,3,54,5.3,NA,622,0,338,5,1172,25,0.9,0.86,0.21,0.36,1,NA,NA,NA,NA,0.32,NA,NA,NA,NA,200,NA,2.7,2641,NA,NA,NA,198,0,69,20,1504,1.2,823,97,NA,0.28,NA,0.29,0,NA,0.03,0.01,38,0,0,0,7,0,0,NA,1583,16,19,0,4,12,67.8,17417,1015
A0351301,NA,442,139,948,29,1.2,0,0,110,0,NA,566,0,NA,159,0,7,0,0,681,347,426,159,595,216,NA,461,1,12.1,258,1677,NA,0,196,12,608,1.08,NA,7,343,5,368,33.9,NA,353,0,123,0.2,446,68,0.12,NA,0.02,0.09,8.1,NA,NA,NA,NA,2.65,NA,NA,NA,NA,352,NA,0.7,4667,NA,2.5,NA,117,73.8,NA,29,260,1.1,523,0,NA,2.27,16,2.3,0,33,0.28,0.1,0,0,0,0,0,0,0,NA,509,0,0,0,0,0,12,13241,389
