ID,半乳糖,甘胺酸(Gly),甲硫胺酸(Met),白胺酸(Leu),次亞麻油酸(18:3),灰分,肉豆蔻烯酸(14:1),肉豆蔻酸(14:0),色胺酸(Trp),辛酸(8:0),乳糖,亞麻油酸(18:2),其他脂肪酸,果糖,油酸(18:1),花生油酸(20:4),花生酸(20:0),芥子酸(22:1),癸酸(10:0),苯丙胺酸(Phe),修正熱量,胱胺酸(Cys),脂肪酸M總量,脂肪酸P總量,脂肪酸S總量,酒精含量,異白胺酸(Ile),粗脂肪,粗蛋白,組胺酸(His),脯胺酸(Pro),麥芽糖,棕櫚烯酸(16:1),棕櫚酸(16:0),硬脂酸(18:0),絲胺酸(Ser),菸鹼素,視網醇,視網醇當量(RE),酥胺酸(Thr),鈣,鈉,葉酸,葡萄糖,酪胺酸(Tyr),酪酸(4:0),鉀,飽和脂肪,精胺酸(Arg),維生素A總量(IU),維生素B1,維生素B12,維生素B2,維生素B6,維生素C,維生素D2,維生素D3,維生素D總量(IU),維生素D總量(ug),維生素E總量,維生素K1,維生素K2(MK-4),維生素K2(MK-7),銅,熱量,蔗糖,鋅,麩胺酸(Glu),糖質總量,膳食纖維,錳,磷,總碳水化合物,膽固醇,鎂,離胺酸(Lys),鐵,纈胺酸(Val),鱈烯酸(20:1),P/M/S,α-生育酚,α-胡蘿蔔素,α-維生素E當量(α-TE),β-生育酚,β-胡蘿蔔素,γ-生育酚,δ-生育酚,十七酸(17:0),十九酸(19:0),十八碳四烯酸(18:4),十三酸(13:0),十五酸(15:0),山酸(22:0),己酸(6:0),反式脂肪,天門冬胺酸(Asp),廿二碳五烯酸(22:5),廿二碳六烯酸(22:6),廿四酸(24:0),廿碳五烯酸(20:5),月桂酸(12:0),水分,水解胺基酸總量,丙胺酸(Ala)
R2300301,0,236,55,457,104,0.5,0,51,45,5,0,1056,0,1,1028,0,12,3,7,312,258,203,1043,1160,1351,NA,239,3.6,6.6,148,790,1.5,8,1021,197,288,0.56,NA,1,180,16,46,22.8,1,192,0,130,1.4,264,6,0.06,NA,0.06,0.07,0,NA,NA,NA,NA,2.1,NA,NA,NA,NA,263,8.1,0.7,2110,11.6,2.4,NA,223,51.1,0,18,181,0.5,274,4,NA,0.52,0,0.76,0.28,4,0.91,0.4,2,0,0,0,1,8,0,25.47,337,0,0,1,0,46,38.2,6518,207
R2300501,0,268,126,493,59,0.6,0,150,73,6,0,2716,27,0.9,4435,0,48,0,4,352,340,17,4535,2775,4355,NA,226,11.7,7.2,159,828,1,88,2977,1035,353,0.7,NA,0,207,4,24,NA,0.9,226,0,139,4.4,362,0,0.05,NA,0.07,0.02,1.3,NA,NA,NA,NA,25.83,NA,NA,NA,NA,341,8.5,0.7,2455,11.4,0.6,NA,321,51.7,9,20,153,1.1,271,13,NA,0.78,0,12.68,23.5,0,1.41,0.14,43,0,0,0,21,14,0,28.01,334,0,0,7,0,50,28.8,7145,242
R2100401,NA,188,52,255,93,0.9,0,87,42,0,NA,1196,NA,NA,2622,17,15,0,8,181,119,110,2816,1348,2335,NA,135,6.5,4.4,103,399,NA,140,1476,740,175,0.7,3,3,121,6,312,9,NA,125,0,83,2.3,213,10,0.03,0.33,0.07,0.12,0,NA,NA,NA,NA,0.57,NA,NA,NA,NA,124,NA,0.4,1511,NA,2.5,NA,31,11.9,10,12,152,1.3,165,55,NA,0.13,0,0.17,0.01,0,0.38,0.05,0,0,0,0,3,0,0,NA,311,18,21,0,4,6,76.3,4404,166
C2300101,NA,417,69,600,31,1.4,0,3,0,0,0,292,3,0,50,0,6,0,0,392,124,159,55,323,165,NA,368,0.5,9.3,228,273,0,3,127,6,534,0.4,NA,0,327,69,119,24.6,0,303,0,305,0.2,752,0,0.05,NA,0.02,0.07,2.3,NA,NA,NA,NA,0.58,NA,NA,NA,NA,141,0,1.2,1836,0,8,NA,290,25.6,NA,99,492,5.1,454,2,NA,0.16,0,0.21,0.04,0,0.39,0,0,0,0,0,0,18,0,NA,932,0,0,4,0,0,63.2,8537,401
Q4200201,0,122,45,213,82,2.8,0,246,56,5,0,10605,0,0.1,10578,0,130,0,0,186,549,87,10810,10687,12845,NA,150,34.3,5.2,112,171,0,122,11088,1231,160,2.3,0,0,146,17,383,7,0.1,169,0,817,12.8,255,0,0.23,NA,0.03,0.54,0,NA,NA,NA,NA,16.57,NA,NA,NA,NA,553,1.7,0.5,976,1.9,2.2,NA,137,55.8,0,57,242,1.7,251,110,NA,12.05,0,12.47,0,0,4.07,0.45,12,0,0,0,5,40,9,63.24,1091,0,0,32,0,47,1.9,4602,170
Q0700201,0,342,61,934,195,1.7,10,760,142,145,1.7,3190,15,0,18830,46,202,46,156,517,585,403,19307,3452,17635,NA,518,40.4,10.3,258,940,0,208,11635,3653,683,0.4,202,204,471,167,146,16,0,374,0,332,17.6,501,697,0.1,0.06,0.41,0.11,NA,NA,NA,NA,NA,5.34,NA,NA,NA,NA,590,19.9,1.4,2315,21.6,2.1,NA,252,46.2,146,46,668,1.6,633,212,NA,3.26,0,3.46,0,14,1.9,0.18,30,0,0,0,20,131,57,253.16,927,10,11,40,0,807,1.4,11184,497
R2100201,0,340,115,590,76,5.4,0,346,97,28,0,2278,19,0,9553,0,80,0,20,416,470,366,9729,2353,12405,NA,307,24.5,9.6,182,1093,0.4,134,10083,1684,392,0.7,0,29,236,13,2077,9,0.4,260,0,186,12.4,328,292,0.24,0.17,0.13,0.2,NA,NA,NA,NA,NA,6.11,NA,NA,NA,NA,473,0.8,0.8,3842,1.6,1.8,NA,115,53.6,0,30,190,1.6,358,42,NA,2.55,20,2.93,0.23,165,2.41,0.92,23,0,0,0,10,9,0,189.06,384,0,0,9,0,112,6.9,9835,339
R2700201,0,292,99,587,73,1.8,0,37,82,0,0,721,5,0.1,1082,0,10,0,0,413,255,324,1122,794,1156,NA,302,3.1,9.1,187,1044,1.4,40,775,301,379,0.63,1,5,223,8,602,18.5,0.2,256,0,88,1.2,344,44,0.08,0.19,0.05,0.1,0.3,NA,NA,NA,NA,0.5,NA,NA,NA,NA,258,0.7,0.5,2885,2.4,1.3,NA,91,48.5,9,21,194,1.3,354,0,NA,0.17,0,0.2,0.01,24,0.3,0.02,11,3,0,0,0,3,0,31.01,348,0,0,2,0,12,37.5,8603,291
R2200301,0,327,120,509,133,2.5,0,116,85,0,0,2065,112,0.4,4797,13,29,13,5,333,225,165,5020,2233,4151,NA,277,11.5,8.4,193,712,0.4,115,2635,1331,290,3.2,10,10,231,18,439,NA,0.5,224,0,154,4.2,370,33,0.14,0.5,0.11,0.09,0.4,NA,NA,NA,NA,0.44,NA,NA,NA,NA,229,0.5,0.6,2074,1.8,1.8,NA,70,23,31,17,328,0.7,317,95,NA,0.01,NA,0.22,0.41,NA,0.02,0,17,0,0,0,3,7,0,32.38,435,13,9,3,0,5,54.6,7311,321
C2350101,NA,157,18,238,0,0.9,0,0,86,0,NA,0,0,NA,0,0,0,0,0,148,223,42,0,0,0,NA,140,0.1,5.7,91,98,NA,0,0,0,226,0.47,NA,0,127,54,11,33.3,NA,88,0,155,0,253,0,0.01,NA,0.11,0.11,0.4,NA,NA,NA,NA,0.89,NA,NA,NA,NA,230,NA,1,729,NA,3.3,NA,200,51.4,NA,72,191,1.1,175,0,NA,0.3,0,0.36,0,0,0.57,0.02,0,0,0,0,0,0,0,NA,368,0,0,0,0,0,41.9,3339,163
R2600201,NA,266,163,785,126,1.8,0,510,109,71,NA,646,NA,NA,2098,0,23,0,154,453,206,129,2170,772,3909,NA,408,6.8,9.3,238,882,NA,72,1927,863,428,1.01,70,114,320,32,405,48,NA,374,0,240,3.9,423,675,0.14,0.26,0.17,0.22,NA,NA,NA,NA,NA,1.74,NA,NA,NA,NA,210,NA,1,2359,NA,2,NA,253,27.7,15,20,565,0.5,494,0,NA,0.76,65,0.92,0.17,233,0.66,0.15,28,0,0,0,51,0,112,NA,651,0,0,0,0,172,54.3,9379,334
R2200401,NA,365,111,607,232,1.5,0,99,75,0,NA,2525,NA,NA,3751,0,26,0,0,400,221,188,3985,2757,3048,NA,320,9.8,7.8,187,839,NA,161,1989,934,355,1.03,5,6,247,8,472,28.1,NA,236,0,119,3,362,24,0.14,0.27,0.05,0.12,NA,NA,NA,NA,NA,1.71,NA,NA,NA,NA,223,NA,0.7,2646,NA,1.4,NA,135,26,17,22,311,0.6,356,73,NA,0.27,0,0.42,0.07,4,1.09,0.28,0,0,0,0,0,0,0,NA,439,0,0,0,0,0,55,8359,314
Q6400501,NA,NA,NA,NA,0,0.5,0,64,NA,0,NA,178,NA,NA,1082,0,0,0,0,NA,357,NA,1145,178,1137,NA,NA,2.5,0.3,NA,NA,NA,63,700,331,NA,0,NA,0,NA,1,93,4.7,NA,NA,0,95,1.1,NA,0,0,NA,0.04,0,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,359,NA,0.3,NA,NA,1.1,NA,19,84,NA,10,NA,0.8,NA,0,NA,0.25,0,0.25,0,0,0,0,20,0,0,0,0,0,0,NA,NA,0,0,0,0,22,12.7,NA,NA
Q6900301,NA,283,40,618,NA,0.8,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,338,110,NA,NA,NA,NA,341,1,7.1,181,258,NA,NA,NA,NA,411,0.52,NA,0,304,13,13,38.1,NA,163,NA,354,NA,338,0,0,NA,0.07,0.33,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,351,NA,1.3,1050,NA,6.3,NA,103,78.4,NA,40,400,3.1,418,NA,NA,0.13,0,0.2,0.01,0,0.61,0.05,NA,NA,NA,NA,NA,NA,NA,NA,851,NA,NA,NA,NA,NA,12.7,6534,314
Q6900401,NA,230,45,461,NA,0.9,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,333,119,NA,NA,NA,NA,253,1.1,6.2,149,211,NA,NA,NA,NA,326,0.46,NA,0,246,14,16,44.6,NA,156,NA,345,NA,293,0,0.01,NA,0.09,0.64,NA,NA,NA,NA,NA,1.12,NA,NA,NA,NA,346,NA,0.9,762,NA,6.5,NA,102,77.9,NA,48,315,3.2,312,NA,NA,0.1,0,0.22,0.04,0,0.98,0,NA,NA,NA,NA,NA,NA,NA,NA,631,NA,NA,NA,NA,NA,13.9,5078,258
R2200501,NA,367,84,550,180,1.4,0,117,51,3,NA,2235,NA,NA,3935,20,27,0,7,350,216,186,4186,2484,3540,NA,289,10.2,9.5,186,757,NA,182,2225,1113,332,1.15,15,15,258,14,350,15.8,NA,223,0,166,3.5,328,50,0.03,0.26,0.09,0.17,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,221,NA,0.8,2657,NA,2.3,NA,83,22.7,17,20,347,1.2,325,69,NA,0.12,0,0.13,0,0,0.05,0,32,0,0,0,0,8,0,NA,477,18,23,0,9,8,56.2,8087,321
R2200701,NA,419,131,665,0,1.2,0,109,77,5,NA,1626,NA,NA,3353,17,111,0,6,402,193,168,3513,1685,3303,NA,357,8.5,9,380,675,NA,160,2000,1037,370,3.25,10,10,336,7,275,11.2,NA,270,0,175,3.3,450,34,0.09,0.45,0.04,0.25,NA,NA,NA,NA,NA,2.79,NA,NA,NA,NA,196,NA,0.5,2004,NA,1.3,NA,102,20.8,19,22,553,0.8,390,0,NA,0.18,NA,0.4,0.06,NA,1.58,0.97,29,0,0,0,0,0,0,NA,651,18,24,0,0,6,60.5,8736,438
C1710201,NA,1750,328,1984,21,3.2,0,16,390,0,0,13918,541,0,15518,0,573,47,0,1477,513,345,15918,13939,7669,NA,1042,38.1,28.2,790,1164,0,19,4685,1257,1447,15.43,NA,0,689,78,319,120.9,0,1247,0,681,7.7,3416,0,0.58,NA,0.15,0.35,0,NA,NA,NA,NA,4,NA,NA,NA,NA,531,3.7,3.5,5931,3.7,9,NA,423,28.1,NA,251,983,2.7,1238,334,NA,1.64,NA,2.13,0.65,0,1.6,0.11,32,0,0,0,0,1103,4,NA,3584,0,0,0,0,0,2.3,28841,1034
P1000501,NA,169,181,796,129,2.9,169,2025,0,223,2.8,286,13,0,3680,25,35,0,509,427,209,62,4216,476,12257,NA,396,17,8.8,269,890,0,355,5566,1894,464,0.51,177,190,340,499,403,8.9,0,462,540,117,12.3,286,724,0.07,0.47,0.4,0.01,0,NA,NA,NA,NA,0.49,NA,NA,NA,NA,216,0,1.8,2005,2.8,3.3,NA,307,6.9,47,21,679,0.3,529,12,NA,0.49,NA,0.49,0,81,0,0,141,0,0,37,232,24,361,NA,612,23,0,12,13,657,64.4,8846,278
P1301101,NA,18,4,23,1734,1,242,2368,10,329,0,14888,46,0,26782,21,244,0,293,17,790,7,28568,16642,40472,NA,13,85.7,1.1,9,0,0,1244,23534,10744,22,0.18,0,82,17,9,477,0.8,0,15,143,58,40.5,121,820,0.01,0.02,0,0.11,0,NA,NA,NA,NA,16.81,NA,NA,NA,NA,791,0,0.2,489,0,0.5,NA,19,3.8,50,4,25,0.3,20,301,NA,4.94,NA,6.09,0.19,492,10,1.67,669,0,0,0,286,126,68,NA,64,0,0,48,0,1619,8.4,893,19
J3100801,NA,419,165,601,93,0.8,0,50,78,0,NA,49,NA,NA,144,69,0,0,0,352,51,122,388,423,629,NA,371,1.4,8.9,185,351,NA,150,454,84,344,1.97,48,48,447,58,20,32.3,NA,314,0,57,0.6,510,161,0.01,84.16,0.4,0.1,9.9,NA,NA,NA,NA,0.96,NA,NA,NA,NA,51,NA,1.5,1026,NA,NA,NA,137,9.8,55,14,600,2.4,409,94,NA,0.96,NA,0.96,0,NA,0,0,32,9,27,0,0,0,0,NA,810,49,39,0,96,0,79.1,7596,494
J5100101,NA,550,76,230,NA,23.4,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,19,85,NA,NA,NA,NA,178,0,4.4,49,285,NA,NA,NA,NA,170,0.05,0,0,214,31,8127,4.6,NA,123,NA,153,NA,277,0,0,1.43,0.01,0,9.8,NA,NA,NA,NA,0.02,NA,NA,NA,NA,19,NA,1.2,497,NA,NA,NA,55,2.2,22,163,277,2.6,184,NA,NA,0.02,NA,0.02,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,420,NA,NA,NA,NA,NA,70,4008,257
B0400301,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,0,NA,NA,0.9,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,NA,0.1,1.1,NA,NA,0,NA,NA,NA,NA,0.5,NA,0,NA,33,87,17.3,1.2,NA,NA,272,NA,NA,0,0.02,NA,0.04,0.12,20.1,NA,NA,NA,NA,0.16,NA,NA,NA,NA,122,2.2,0.3,NA,4.3,2.8,NA,45,28.5,NA,22,NA,1.1,NA,NA,NA,0.14,0,0.14,0.01,0,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4,NA,NA
E9300101,NA,109,31,153,NA,1,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,22,61,NA,NA,NA,NA,83,0.8,3.1,57,93,NA,NA,NA,NA,109,2.1,NA,175,98,17,6,NA,NA,75,NA,347,NA,97,1752,0,NA,0.05,0.07,0.1,NA,NA,NA,NA,0.49,NA,NA,NA,NA,27,NA,0.9,246,NA,2.9,NA,70,3.2,NA,29,109,1.4,108,NA,NA,0.34,0,0.39,0.09,1051,0.02,0.04,NA,NA,NA,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,NA,91.9,1826,95
E3850101,NA,255,47,301,NA,31.4,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,81,49,NA,NA,NA,NA,201,1.1,5.5,69,257,NA,NA,NA,NA,225,0.88,NA,717,195,381,11555,NA,NA,121,NA,820,NA,103,7169,0.03,NA,0.15,0.24,0,NA,NA,NA,NA,4.07,NA,NA,NA,NA,105,NA,1.7,1424,NA,12.8,NA,70,20.8,NA,59,254,35.6,269,NA,NA,3.57,0,3.76,0.35,4301,0.12,0.03,NA,NA,NA,NA,NA,NA,NA,NA,393,NA,NA,NA,NA,NA,41.1,4804,429
E7100101,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,0.1,1.5,NA,NA,NA,NA,NA,NA,NA,0.33,NA,0,NA,25,0,9.5,NA,NA,NA,365,NA,NA,0,0.04,NA,0.05,0.08,16.3,NA,NA,NA,NA,0.28,NA,NA,NA,NA,15,NA,0.4,NA,NA,0.9,NA,41,2.7,NA,18,NA,0.6,NA,NA,NA,0.11,NA,0.17,0.1,0,0.06,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA
J0413401,NA,869,565,1508,2,1.3,0,54,274,0,NA,12,NA,NA,261,58,9,0,0,750,93,358,398,422,530,NA,853,1.4,19,452,636,NA,67,356,110,711,5.29,9,9,819,4,57,2,NA,665,0,387,0.5,1254,29,0.23,2.45,0.06,0.37,0.7,NA,NA,NA,NA,1.4,NA,NA,NA,NA,93,NA,0.3,2816,NA,NA,NA,276,0.3,59,35,1723,0.9,915,70,NA,1.4,NA,1.4,0,NA,0,0,0,0,6,0,0,0,0,NA,1881,48,238,0,59,0,78.1,18181,1130
J0413901,NA,985,669,1775,0,1.6,0,1,323,0,NA,1,NA,NA,16,9,0,0,0,1001,103,462,40,79,21,NA,1025,0.1,23.9,1582,722,NA,24,5,15,822,11.24,6,6,995,3,41,2,NA,808,0,441,0,1386,20,0.22,6.93,0.14,0.55,0.7,NA,NA,NA,NA,0.51,NA,NA,NA,NA,103,NA,0.5,3060,NA,NA,NA,331,0,60,42,2018,2.4,1157,0,NA,0.51,NA,0.51,0,NA,0,0,0,0,0,0,0,0,0,NA,2126,9,52,0,7,0,74.5,22230,1313
J0404404,NA,910,560,1446,14,1.1,0,51,224,0,NA,137,NA,NA,353,21,2,11,0,724,99,146,520,379,371,NA,804,1.3,20.5,395,519,NA,135,270,39,699,3.45,49,49,786,27,64,6.5,NA,617,0,395,0.4,1022,165,0.1,1.53,0.15,0.11,0.5,NA,NA,NA,NA,0.56,NA,NA,NA,NA,99,NA,0.5,2786,NA,NA,NA,200,0.1,61,35,1627,0.3,827,22,NA,0.54,NA,0.54,0,NA,0.02,0,4,0,11,0,5,0,0,NA,1808,22,99,0,73,1,77,16964,1064
J0404405,NA,1043,569,1554,30,1.2,0,60,144,0,NA,251,NA,NA,519,25,0,16,0,744,101,116,751,572,538,NA,885,1.9,19.6,857,610,NA,180,407,60,779,4.05,59,59,861,25,78,6.8,NA,689,0,414,0.5,1116,196,0.06,1.32,0.12,0.12,0.7,NA,NA,NA,NA,0.38,NA,NA,NA,NA,101,NA,0.6,2933,NA,NA,NA,222,0.4,54,33,1584,0.4,891,36,NA,0.3,NA,0.32,0.02,NA,0.05,0.01,5,0,12,0,6,0,0,NA,1943,29,137,0,88,0,76.9,18450,1132
E6100101,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,0.3,3.9,NA,NA,NA,NA,NA,NA,NA,0.2,NA,315,NA,65,6,NA,NA,NA,NA,320,NA,NA,3150,1.49,NA,0.16,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,0.6,NA,NA,3.1,NA,86,4.8,NA,37,NA,0.9,NA,NA,NA,NA,1520,NA,NA,1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA
A0351501,NA,442,128,948,34,1.1,0,0,99,0,NA,712,0,NA,200,0,0,0,0,680,351,433,200,747,273,NA,459,1.2,11.8,262,1675,NA,0,255,18,610,0.95,NA,2,345,4,310,37.1,NA,360,0,130,0.3,450,23,0.11,NA,0.02,0.12,8,NA,NA,NA,NA,0.08,NA,NA,NA,NA,356,NA,0.7,4679,NA,2.5,NA,115,74.4,NA,29,259,1,527,0,NA,0.03,0,0.05,0.04,14,0,0.01,0,0,0,0,0,0,0,NA,505,0,0,0,0,0,11.5,13249,388
E3201001,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,0.8,3.2,NA,NA,NA,NA,NA,NA,NA,0.8,NA,1423,NA,92,21,NA,NA,NA,NA,240,NA,NA,14224,0.04,NA,0.33,0.01,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,0.5,NA,NA,2.3,NA,57,4,NA,23,NA,1.8,NA,NA,NA,NA,30,NA,NA,8520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.1,NA,NA
J0403107,NA,1094,581,1809,201,1.2,0,171,331,0,NA,1677,0,NA,1612,42,11,55,0,889,149,164,2211,2250,1759,NA,1018,6.2,21.8,991,802,NA,451,1422,156,902,5.92,0,0,991,7,37,6.9,NA,819,0,398,1.8,1335,0,0.01,3.35,0.13,0.27,0.7,NA,NA,NA,NA,0.5,NA,NA,NA,NA,149,NA,0.5,3291,NA,NA,NA,222,0.2,64,27,1757,2.5,1102,92,NA,0.41,NA,0.42,0,NA,0.06,0.03,0,0,26,0,0,0,0,NA,2180,81,153,0,71,0,70.5,21410,1355
E9900401,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,0.2,2.3,NA,NA,NA,NA,NA,NA,NA,2.4,NA,208,NA,11,3,NA,NA,NA,NA,320,NA,NA,2075,0,NA,0.1,0.03,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,1.4,NA,NA,5.7,NA,65,3.9,NA,20,NA,0.9,NA,NA,NA,NA,30,NA,NA,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA
E9900601,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,2.3,3.9,NA,NA,NA,NA,NA,NA,NA,0.84,NA,930,NA,424,22,NA,NA,NA,NA,780,NA,NA,9295,0.05,NA,0.26,0.03,30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,1.9,NA,NA,0.7,NA,123,12.7,NA,140,NA,7.5,NA,NA,NA,NA,455,NA,NA,5350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7,NA,NA
D0430101,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,0.4,0.9,NA,NA,NA,NA,NA,NA,NA,0.16,NA,34,NA,5,1,NA,NA,NA,NA,239,NA,NA,343,0,NA,0.11,0.31,18.5,NA,NA,NA,NA,0.41,NA,NA,NA,NA,73,NA,0.6,NA,NA,0.2,NA,27,18.6,NA,16,NA,0.6,NA,NA,NA,0.29,NA,0.34,0.1,206,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.6,NA,NA
J0402101,NA,679,368,922,56,1.1,1,17,53,0,NA,49,NA,NA,134,83,0,0,0,457,69,101,196,495,197,NA,493,0.9,14.3,252,461,NA,61,148,19,493,0.62,42,42,537,274,56,9.9,NA,377,0,85,0.2,640,141,0.05,1.19,0.06,0.07,0.1,NA,NA,NA,NA,2.1,NA,NA,NA,NA,69,NA,1.1,1805,NA,NA,NA,217,0.9,179,289,926,0,539,0,NA,2.1,NA,2.1,0,NA,0,0,6,0,19,0,5,0,0,NA,1174,15,68,0,205,2,82.7,11012,740
B0400601,NA,NA,NA,NA,7,0.8,0,4,NA,0,0,23,3,0.4,7,0,5,0,7,NA,115,NA,11,30,109,NA,NA,0.2,1.3,NA,NA,0.3,0,62,14,NA,0.51,NA,12,NA,46,51,14.6,0.6,NA,0,276,0.1,NA,116,0.13,NA,0.04,0.23,19.8,NA,NA,NA,NA,0.5,NA,NA,NA,0.013,121,3.5,0.2,NA,4.8,2.5,NA,42,27.8,NA,24,NA,0.3,NA,3,NA,0.45,0,0.46,0,70,0.04,0.01,0,0,0,0,0,0,0,NA,NA,0,0,4,0,14,70,NA,NA
J0400601,NA,898,586,1472,42,3.1,0,11,93,0,NA,54,NA,NA,128,142,0,0,0,700,97,159,149,602,199,NA,793,1,20.7,366,711,NA,21,148,30,783,0.41,82,82,862,259,851,16.5,NA,633,0,50,0.2,1077,275,0.03,0.31,0.12,0,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,97,NA,1.4,2961,NA,NA,NA,199,1.1,245,190,1484,0,889,0,NA,1.29,NA,1.29,0,NA,0.01,0,6,0,17,0,4,0,0,NA,1870,16,153,0,178,0,74.2,17443,1104
J0413601,NA,663,482,1229,73,0.9,11,51,174,0,NA,242,NA,NA,15857,355,90,90,0,654,272,188,17333,4169,533,NA,780,22,17.3,1480,524,NA,509,260,132,627,12.13,1103,1103,689,5,84,2.9,NA,574,0,268,0.5,900,3675,0.02,2.47,0.04,0.6,0.4,NA,NA,NA,NA,4.86,NA,NA,NA,NA,272,NA,0.8,2099,NA,NA,NA,162,0,59,21,1419,0.8,844,866,NA,4.83,NA,4.83,0,NA,0.03,0,0,0,1741,0,0,0,0,NA,1432,170,906,0,683,0,60.5,15676,917
J0402201,NA,1169,633,1596,56,1.3,6,490,251,0,NA,82,NA,NA,1315,120,13,480,0,952,151,152,2683,1737,1665,NA,988,6.1,22.6,634,777,NA,421,844,226,836,8.24,7,7,934,38,53,4.2,NA,729,0,410,1.7,1249,23,0.22,4.9,0.12,0.55,0,NA,NA,NA,NA,0.26,NA,NA,NA,NA,151,NA,0.7,2739,NA,NA,NA,239,0.3,55,23,1783,0.7,1154,461,NA,0.24,NA,0.24,0,NA,0.02,0,27,0,118,4,37,0,0,NA,1920,138,683,0,540,23,69.7,19823,1328
A0600201,NA,0,61,1571,12,0.5,0,0,169,0,NA,484,0,NA,367,0,4,0,0,527,357,327,374,497,170,NA,426,1,10.7,190,0,NA,2,149,17,398,1.1,NA,0,0,8,0,12.5,NA,395,0,129,0.2,236,0,0.11,NA,0.03,0.07,0,NA,NA,NA,NA,0.13,NA,NA,NA,NA,362,NA,0.5,2271,NA,2.5,NA,75,75.7,NA,26,126,1.3,420,4,NA,0.05,0,0.06,0,0,0.08,0,0,0,0,0,0,0,0,NA,980,0,0,0,0,0,12.1,9305,1207
G1500201,NA,55,210,50,0,0.6,0,0,0,0,NA,56,NA,NA,101,0,1,0,0,35,21,9,102,56,42,NA,40,0.2,1.7,31,42,NA,1,32,5,47,2.5,NA,0,54,1,2,13.5,NA,44,0,341,0,24,0,0.06,0.07,0.16,0.06,0.1,NA,NA,NA,NA,0,NA,NA,NA,NA,22,NA,0.6,223,NA,0.7,NA,16,4,NA,13,52,0.7,60,0,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,106,0,0,2,0,0,93.5,1155,75
J0800201,NA,5027,1955,4710,30,6.4,11,396,921,0,NA,92,NA,NA,1277,278,39,39,0,2480,354,656,1951,2730,3214,NA,2589,7.9,66.3,1537,2988,NA,494,1943,561,2657,11.01,9,9,2847,2804,406,70.2,NA,2235,0,1011,3.2,3880,32,0.18,5.84,0.07,0.6,0,NA,NA,NA,NA,1.51,NA,NA,NA,NA,354,NA,5.2,9607,NA,NA,NA,1798,1.1,295,230,4807,2.8,2978,130,NA,1.51,NA,1.51,0,NA,0,0,116,0,41,7,92,27,0,NA,6021,291,1558,12,439,20,18.4,62347,4452
